gene	lof.pLI
DTX4	4.5201e-04
DTYMK	3.5576e-03
DUOX1	7.3279e-02
DUOX2	8.8731e-63
DUOXA1	3.5618e-01
DUOXA2	5.8537e-07
DUS1L	4.9086e-03
DUS2	3.1707e-02
DUS3L	2.6290e-02
DUS4L	2.4635e-09
DUS4L-BCAP29	3.7982e-05
DUSP1	3.2476e-01
DUSP10	9.2005e-02
DUSP11	7.2207e-02
DUSP12	3.2600e-04
DUSP13	4.8750e-04
DUSP14	4.9789e-01
DUSP15	2.0512e-02
DUSP16	9.7270e-01
DUSP18	3.6718e-01
DUSP19	1.7618e-06
DUSP2	1.8551e-07
DUSP21	3.2350e-04
DUSP22	4.9072e-01
DUSP23	1.0021e-03
DUSP26	2.9736e-01
DUSP28	4.9913e-07
DUSP29	8.1012e-04
DUSP3	8.4666e-01
DUSP4	1.8447e-01
DUSP5	2.0060e-06
DUSP6	9.9498e-01
DUSP7	9.3727e-01
DUSP8	1.8386e-02
DUSP9	8.1981e-01
DUT	5.9495e-02
DUXA	1.0216e-07
DVL1	1.4754e-04
DVL2	2.4446e-02
DVL3	8.1700e-01
DXO	4.3611e-05
DYDC1	1.1070e-03
DYDC2	6.4724e-07
DYM	6.1158e-01
DYNAP	6.5887e-02
DYNC1H1	1.0000e+00
DYNC1I1	3.6920e-02
DYNC1I2	1.6326e-02
DYNC1LI1	9.8046e-01
DYNC1LI2	9.9983e-01
DYNC2H1	9.6672e-02
DYNC2I1	3.2722e-01
DYNC2I2	2.5861e-11
DYNC2LI1	2.1382e-01
DYNLL1	6.8850e-01
DYNLL2	9.6039e-01
DYNLRB1	5.4350e-01
DYNLRB2	2.3461e-04
DYNLT1	2.7712e-04
DYNLT2	2.7693e-06
DYNLT2B	2.1022e-04
DYNLT3	7.3114e-01
DYNLT4	4.3610e-04
DYNLT5	4.2815e-06
DYRK1A	1.0000e+00
DYRK1B	9.9810e-01
DYRK2	9.9297e-01
DYRK3	4.5685e-01
DYRK4	9.6108e-04
DYSF	3.2279e-49
DYTN	5.2071e-27
DZANK1	1.9535e-03
DZIP1	9.4412e-15
DZIP1L	6.0427e-01
DZIP3	1.0640e-01
E2F1	9.9922e-01
E2F2	5.4450e-01
E2F3	9.9998e-01
E2F4	9.6802e-01
E2F5	1.6992e-01
E2F6	7.3092e-02
E2F7	9.4819e-01
E2F8	4.1839e-01
E4F1	9.9781e-01
EAF1	6.2602e-05
EAF2	9.9711e-02
EAPP	2.1293e-05
EARS2	2.7321e-11
EBAG9	9.0158e-01
EBF1	1.0000e+00
EBF2	9.9998e-01
EBF3	1.0000e+00
EBF4	6.6088e-01
EBI3	6.2489e-07
EBLN1	1.2110e-02
EBLN2	9.0081e-05
EBNA1BP2	1.0162e-09
EBP	9.3645e-01
EBPL	2.0692e-06
ECD	4.5718e-01
ECE1	9.9443e-01
ECE2	9.8017e-20
ECEL1	2.6914e-13
ECH1	5.3624e-01
ECHDC1	4.3644e-03
ECHDC2	5.4502e-05
ECHDC3	1.5159e-03
ECHS1	9.2335e-04
ECI1	7.7020e-09
ECI2	1.9628e-02
ECM1	1.4324e-13
ECM2	6.5444e-01
ECPAS	1.0000e+00
ECRG4	8.1844e-06
ECSCR	1.0896e-02
ECSIT	1.8450e-01
ECT2	5.3278e-02
ECT2L	1.1893e-01
EDA	9.7531e-01
EDA2R	5.4689e-04
EDAR	2.0772e-09
EDARADD	5.2152e-01
EDC3	9.2365e-01
EDC4	9.3477e-01
EDDM13	1.6101e-04
EDDM3A	1.0518e-01
EDDM3B	3.0302e-01
EDEM1	5.6924e-09
EDEM2	9.1477e-06
EDEM3	1.5584e-05
EDF1	9.7658e-01
EDIL3	2.2830e-05
EDN1	4.5961e-03
EDN3	5.4197e-01
EDNRA	9.9906e-01
EDNRB	8.7668e-01
EDRF1	9.4246e-01
EEA1	8.0036e-03
EED	9.9918e-01
EEF1A1	1.0000e+00
EEF1A2	9.9995e-01
EEF1AKMT1	4.6993e-06
EEF1AKMT2	6.5558e-03
EEF1AKMT3	3.4177e-02
EEF1AKMT4	7.8660e-05
EEF1AKMT4-ECE2	3.8252e-21
EEF1AKNMT	4.8574e-09
EEF1B2	2.1036e-01
EEF1D	3.6811e-01
EEF1E1	5.0450e-01
EEF1G	9.9993e-01
EEF2	9.9999e-01
EEF2K	4.4928e-17
EEF2KMT	3.5001e-07
EEFSEC	3.5445e-07
EEPD1	8.6703e-01
EFCAB1	2.6434e-02
EFCAB10	2.3125e-01
EFCAB11	1.2432e-02
EFCAB12	4.9784e-02
EFCAB13	3.7701e-01
EFCAB14	1.0315e-09
EFCAB2	1.7202e-01
EFCAB3	5.3642e-04
EFCAB5	2.6066e-01
EFCAB6	2.3544e-06
EFCAB7	1.9956e-11
EFCAB8	5.0593e-02
EFCAB9	3.0951e-06
EFCC1	1.8108e-08
EFEMP1	1.0000e+00
EFEMP2	8.3466e-01
EFHB	1.3303e-09
EFHC1	2.3192e-01
EFHC2	9.9910e-01
EFHD1	1.1409e-01
EFHD2	4.9224e-02
EFL1	4.2223e-01
EFNA1	8.4546e-01
EFNA2	3.3855e-04
EFNA3	3.3219e-04
EFNA4	9.1311e-06
EFNA5	9.7710e-01
EFNB1	9.3251e-01
EFNB2	9.9997e-01
EFNB3	2.0720e-02
EFR3A	3.7427e-01
EFR3B	1.7907e-09
EFS	1.1583e-07
EFTUD2	1.0000e+00
EGF	1.5347e-13
EGFL6	1.0187e-12
EGFL7	5.1483e-04
EGFL8	3.9462e-08
EGFLAM	2.1088e-03
EGFR	9.9643e-01
EGLN1	9.6323e-01
EGLN2	7.1965e-01
EGLN3	4.7728e-01
EGR1	9.9377e-01
EGR2	9.9690e-01
EGR3	9.9738e-01
EGR4	8.1333e-09
EHBP1	9.8147e-01
EHBP1L1	9.8587e-05
EHD1	2.3215e-01
EHD2	1.6791e-04
EHD3	6.0870e-01
EHD4	2.0382e-10
EHF	9.9881e-01
EHHADH	5.3342e-01
EHMT1	1.0000e+00
EHMT2	9.9883e-01
EI24	3.4602e-01
EID1	9.3890e-01
EID2	4.3366e-01
EID2B	2.4171e-01
EID3	4.8642e-03
EIF1	8.5616e-01
EIF1AD	6.4190e-01
EIF1AX	9.1015e-01
EIF1AY	5.5208e-01
EIF1B	5.1785e-01
EIF2A	5.4351e-08
EIF2AK1	4.8863e-03
EIF2AK2	5.1377e-04
EIF2AK3	8.0566e-01
EIF2AK4	6.4268e-01
EIF2B1	6.0654e-03
EIF2B2	1.9604e-02
EIF2B3	9.2739e-01
EIF2B4	1.2911e-02
EIF2B5	9.5258e-01
EIF2D	9.0348e-04
EIF2S1	9.9981e-01
EIF2S2	1.0000e+00
EIF2S3	9.6388e-01
EIF2S3B	3.3130e-03
EIF3A	1.0000e+00
EIF3B	1.0000e+00
EIF3C	7.3617e-01
EIF3D	1.0000e+00
EIF3E	2.8617e-01
EIF3F	9.9413e-01
EIF3G	9.9957e-01
EIF3H	8.7756e-01
EIF3I	8.9159e-01
EIF3J	8.9165e-01
EIF3K	3.6754e-06
EIF3L	4.9337e-01
EIF3M	9.7610e-01
EIF4A1	1.0000e+00
EIF4A2	1.0000e+00
EIF4A3	1.0000e+00
EIF4B	1.0000e+00
EIF4E	1.0000e+00
EIF4E1B	1.3502e-01
EIF4E2	7.6413e-01
EIF4E3	1.4184e-05
EIF4EBP1	5.3426e-02
EIF4EBP2	4.3314e-02
EIF4EBP3	1.3286e-04
EIF4ENIF1	1.0000e+00
EIF4G1	1.0000e+00
EIF4G2	1.0000e+00
EIF4G3	1.0000e+00
EIF4H	9.9995e-01
EIF5	9.9999e-01
EIF5A	9.9864e-01
EIF5A2	2.4048e-02
EIF5AL1	2.0747e-01
EIF5B	1.0000e+00
EIF6	9.2039e-01
EIPR1	7.4644e-02
ELAC1	5.7923e-03
ELAC2	1.6668e-05
ELANE	4.1463e-04
ELAPOR1	7.6677e-02
ELAPOR2	3.4187e-01
ELAVL1	1.0000e+00
ELAVL2	1.0000e+00
ELAVL3	9.9990e-01
ELAVL4	1.0000e+00
ELF1	3.3235e-01
ELF2	1.0000e+00
ELF3	5.1061e-02
ELF4	1.7035e-01
ELF5	4.7214e-05
ELFN1	3.3177e-03
ELFN2	7.1193e-01
ELK1	9.3711e-01
ELK3	7.1954e-01
ELK4	6.4720e-02
ELL	9.9707e-01
ELL2	1.0000e+00
ELL3	4.0548e-09
ELMO1	1.0000e+00
ELMO2	9.8606e-01
ELMO3	7.9391e-19
ELMOD1	2.2057e-01
ELMOD2	1.4292e-01
ELMOD3	5.4243e-03
ELN	8.0703e-01
ELOA	1.0000e+00
ELOA2	4.4876e-02
ELOB	6.2263e-01
ELOC	9.8529e-01
ELOF1	4.0308e-01
ELOVL1	9.9895e-01
ELOVL2	4.2078e-04
ELOVL3	3.6914e-03
ELOVL4	1.2425e-01
ELOVL5	9.9900e-01
ELOVL6	9.9680e-01
ELOVL7	6.8228e-03
ELP1	8.0639e-14
ELP2	2.2215e-02
ELP3	3.0741e-02
ELP4	2.4329e-02
ELP5	2.0197e-01
ELP6	6.5455e-02
ELSPBP1	2.1317e-04
EMB	8.4660e-02
EMC1	2.7958e-24
EMC10	2.2806e-04
EMC2	1.8757e-03
EMC3	9.2255e-01
EMC4	5.0118e-01
EMC6	7.7763e-01
EMC7	9.9859e-01
EMC8	2.1942e-01
EMC9	5.7550e-04
EMCN	2.9406e-01
EMD	9.3178e-01
EME1	2.3194e-02
EME2	1.7398e-24
EMG1	7.8562e-06
EMID1	6.0640e-05
EMILIN1	1.0549e-05
EMILIN2	5.8641e-16
EMILIN3	4.2453e-14
EML1	1.0000e+00
EML2	5.7810e-01
EML3	6.6918e-01
EML4	2.0035e-05
EML5	2.3975e-01
EML6	3.6814e-01
EMP1	8.1738e-01
EMP2	1.3080e-09
EMP3	2.6352e-01
EMSY	1.0000e+00
EMX1	3.1826e-02
EMX2	9.7774e-01
EN1	5.2173e-01
EN2	3.8949e-01
ENAH	9.9975e-01
ENAM	1.0004e-02
ENC1	2.4330e-01
ENDOD1	1.2150e-05
ENDOG	5.1423e-10
ENDOU	1.7535e-11
ENDOV	3.7575e-01
ENG	1.0000e+00
ENGASE	2.1955e-07
ENHO	6.6825e-03
ENKD1	2.0409e-03
ENKUR	1.3251e-03
ENO1	4.3510e-01
ENO2	9.9707e-01
ENO3	1.5194e-01
ENO4	9.7666e-04
ENOPH1	1.0041e-01
ENOSF1	4.0599e-10
ENOX1	5.1267e-03
ENOX2	7.3699e-04
ENPEP	1.2509e-17
ENPP1	1.6968e-05
ENPP2	7.9271e-01
ENPP3	7.6074e-07
ENPP4	8.0614e-03
ENPP5	1.7130e-08
ENPP6	7.6261e-05
ENPP7	2.4082e-07
ENSA	8.5219e-01
ENTHD1	1.4368e-02
ENTPD1	2.2037e-01
ENTPD2	7.5713e-16
ENTPD3	9.9800e-04
ENTPD4	1.9637e-01
ENTPD5	3.0706e-01
ENTPD6	4.1026e-02
ENTPD7	1.3914e-10
ENTPD8	3.4756e-04
ENTR1	3.0684e-02
ENY2	9.8420e-01
EOGT	1.4889e-01
EOMES	9.9530e-01
EP300	1.0000e+00
EP400	1.0000e+00
EPAS1	1.0000e+00
EPB41	7.0326e-01
EPB41L1	1.0000e+00
EPB41L2	1.0000e+00
EPB41L3	9.9906e-01
EPB41L4A	8.9487e-09
EPB41L4B	1.0000e+00
EPB41L5	4.3370e-02
EPB42	9.0532e-03
EPC1	1.0000e+00
EPC2	1.0000e+00
EPCAM	1.1993e-04
EPDR1	5.2678e-06
EPG5	1.0446e-04
EPGN	5.5481e-02
EPHA1	7.1149e-26
EPHA10	1.0280e-03
EPHA2	3.6382e-05
EPHA3	9.9962e-01
EPHA4	1.0000e+00
EPHA5	2.8569e-09
EPHA6	4.3550e-01
EPHA7	1.0000e+00
EPHA8	1.3048e-03
EPHB1	9.9979e-01
EPHB2	1.0000e+00
EPHB3	9.9991e-01
EPHB4	6.6998e-03
EPHB6	5.1372e-02
EPHX1	1.5356e-06
EPHX2	2.4135e-05
EPHX3	8.9640e-06
EPHX4	1.8812e-05
EPM2A	5.3849e-01
EPM2AIP1	5.6988e-01
EPN1	3.0476e-02
EPN2	5.6524e-01
EPN3	3.5062e-01
EPO	2.6740e-02
EPOP	9.4674e-07
EPOR	4.1302e-04
EPPIN	1.2220e-01
EPPIN-WFDC6	2.2851e-06
EPPK1	1.2346e-01
EPRS1	4.0476e-01
EPS15	3.1345e-06
EPS15L1	9.9997e-01
EPS8	9.9944e-01
EPS8L1	2.5924e-21
EPS8L2	1.1195e-02
EPS8L3	5.3514e-19
EPSTI1	1.9751e-03
EPX	3.2382e-15
EPYC	7.1197e-06
EQTN	2.3182e-03
ERAL1	1.0028e-03
ERAP1	3.1455e-01
ERAP2	6.7819e-02
ERAS	2.2267e-01
ERBB2	9.5270e-01
ERBB3	3.6534e-01
ERBB4	1.0000e+00
ERBIN	9.8640e-01
ERC1	9.8127e-01
ERC2	9.9965e-01
ERCC1	6.0818e-02
ERCC2	3.4141e-02
ERCC3	6.0045e-03
ERCC4	6.4305e-04
ERCC5	1.4155e-11
ERCC6	3.0125e-06
ERCC6L	9.9932e-01
ERCC6L2	1.3372e-01
ERCC8	4.6984e-02
EREG	4.6327e-06
ERF	9.9784e-01
ERFE	2.8520e-02
ERFL	8.0776e-01
ERG	1.0000e+00
ERG28	2.8202e-02
ERGIC1	2.5334e-01
ERGIC2	1.5617e-01
ERGIC3	1.8265e-01
ERH	9.7262e-01
ERI1	5.3176e-03
ERI2	3.4575e-06
ERI3	9.9967e-01
ERICH1	2.8492e-07
ERICH2	1.3010e-01
ERICH3	1.1659e-01
ERICH4	1.4150e-02
ERICH5	2.9799e-02
ERICH6	5.9405e-05
ERICH6B	1.3339e-18
ERLEC1	1.8591e-01
ERLIN1	1.8355e-01
ERLIN2	5.4544e-01
ERMAP	4.3035e-01
ERMARD	2.9337e-01
ERMN	2.0743e-01
ERMP1	5.4580e-17
ERN1	9.9748e-01
ERN2	4.0634e-20
ERO1A	1.4325e-01
ERO1B	1.0601e-02
ERP27	1.0504e-02
ERP29	3.3166e-01
ERP44	1.5323e-01
ERRFI1	3.7098e-01
ERV3-1-ZNF117	5.1226e-12
ERVFRD-1	1.2163e-08
ERVMER34-1	3.5374e-01
ERVV-2	3.6879e-01
ESAM	2.1025e-01
ESCO1	9.8047e-01
ESCO2	3.1240e-01
ESD	7.0647e-06
ESF1	1.2630e-10
ESM1	9.1331e-01
ESPL1	1.0000e+00
ESPN	1.3556e-01
ESPNL	2.3501e-02
ESR1	9.9978e-01
ESR2	2.7965e-07
ESRP1	9.9930e-01
ESRP2	3.3540e-02
ESRRA	9.9674e-01
ESRRB	8.1088e-01
ESRRG	9.9972e-01
ESS2	7.8970e-01
ESX1	5.2687e-01
ESYT1	2.2873e-02
ESYT2	1.6786e-05
ESYT3	3.1201e-10
ETAA1	2.9426e-04
ETF1	1.0000e+00
ETFA	3.9125e-01
ETFB	5.0733e-03
ETFBKMT	1.4215e-01
ETFDH	3.2280e-03
ETFRF1	1.1708e-01
ETHE1	1.7301e-03
ETNK1	9.9953e-01
ETNK2	4.3017e-02
ETNPPL	5.0550e-01
ETS1	9.9997e-01
ETS2	9.9904e-01
ETV1	5.8622e-01
ETV2	3.5811e-02
ETV3	9.9777e-01
ETV3L	1.7632e-11
ETV4	7.9035e-01
ETV5	1.0000e+00
ETV6	9.9889e-01
ETV7	2.4447e-06
EVA1A	2.3206e-01
EVA1B	6.2142e-04
EVA1C	3.3347e-01
EVC	6.3353e-18
EVC2	1.7921e-22
EVI2A	2.9435e-04
EVI2B	1.0399e-02
EVI5	1.5821e-01
EVI5L	9.9613e-01
EVL	9.9747e-01
EVPL	4.9890e-02
EVPLL	1.2347e-09
EVX1	3.7440e-02
EVX2	1.0667e-04
EWSR1	1.0000e+00
EXD1	5.3947e-06
EXD2	9.6000e-03
EXD3	7.1987e-02
EXO1	1.8116e-01
EXO5	1.9758e-05
EXOC1	3.9714e-02
EXOC2	2.4961e-01
EXOC3	9.9510e-01
EXOC3L1	4.3709e-09
EXOC3L2	4.5125e-02
EXOC3L4	1.9629e-05
EXOC4	3.5394e-06
EXOC5	9.7521e-01
EXOC6	3.4979e-02
EXOC6B	2.1013e-03
EXOC7	3.7128e-01
EXOC8	9.3000e-01
EXOG	1.1245e-01
EXOSC1	5.2244e-04
EXOSC10	1.3096e-07
EXOSC2	3.4190e-06
EXOSC3	1.4205e-02
EXOSC4	5.4725e-04
EXOSC5	1.5327e-01
EXOSC6	3.9180e-02
EXOSC7	1.4868e-03
EXOSC8	1.5364e-02
EXOSC9	2.1261e-03
EXPH5	3.9903e-01
EXT1	1.0000e+00
EXT2	2.9854e-02
EXTL1	2.4819e-06
EXTL2	3.4913e-03
EXTL3	9.7671e-01
EYA1	1.0000e+00
EYA2	3.6572e-01
EYA3	6.6581e-01
EYA4	9.9226e-01
EYS	7.8493e-08
EZH1	9.9986e-01
EZH2	1.0000e+00
EZR	6.0455e-04
F10	3.5698e-05
F11	1.1463e-05
F11R	1.3739e-05
F12	5.6688e-23
F13A1	3.1765e-01
F13B	1.1712e-05
F2	1.4962e-01
F2R	1.3972e-01
F2RL1	5.2893e-02
F2RL2	1.7969e-02
F2RL3	6.3496e-02
F3	1.6438e-03
F5	2.8334e-23
F7	6.6861e-06
F8	1.0000e+00
F9	9.9776e-01
FA2H	8.3288e-01
FAAH	9.2899e-21
FAAH2	1.8917e-21
FAAP100	4.5931e-01
FAAP20	1.0839e-02
FAAP24	8.7633e-04
FABP1	2.7468e-03
FABP12	2.8676e-02
FABP2	1.6064e-01
FABP3	2.7265e-02
FABP4	3.4797e-06
FABP5	8.0964e-01
FABP6	9.0360e-04
FABP7	5.8157e-02
FABP9	1.2529e-02
FADD	6.9436e-02
FADS1	9.9998e-01
FADS2	9.9995e-01
FADS3	4.8108e-01
FADS6	8.1798e-03
FAF1	9.9502e-01
FAF2	1.0000e+00
FAH	3.8321e-03
FAHD1	8.0116e-06
FAHD2A	2.8924e-01
FAHD2B	1.2637e-01
FAIM	2.7071e-03
FAIM2	4.6135e-01
FAM102A	1.2710e-02
FAM102B	9.1072e-01
FAM104A	4.8810e-02
FAM104B	1.3697e-01
FAM107A	2.1319e-05
FAM107B	9.6671e-01
FAM110A	8.1983e-04
FAM110B	9.1585e-01
FAM110C	5.0155e-09
FAM110D	1.0799e-01
FAM111A	1.6174e-01
FAM111B	2.9772e-01
FAM114A1	2.8915e-07
FAM114A2	3.6202e-01
FAM117A	6.5212e-01
FAM117B	1.1925e-03
FAM118A	1.3222e-01
FAM118B	8.8260e-02
FAM120A	1.0000e+00
FAM120AOS	3.9238e-04
FAM120B	6.2092e-10
FAM120C	9.9998e-01
FAM124A	1.0477e-02
FAM124B	9.5964e-06
FAM126A	7.6373e-01
FAM126B	9.3541e-01
FAM131A	2.6475e-01
FAM131B	2.9780e-01
FAM131C	1.7774e-03
FAM133A	3.9581e-01
FAM133B	3.0558e-01
FAM135A	3.4846e-01
FAM135B	9.9977e-01
FAM136A	7.2651e-03
FAM13A	9.9397e-01
FAM13B	6.8651e-01
FAM13C	5.9893e-01
FAM149A	1.9280e-01
FAM149B1	9.9794e-03
FAM151A	8.2924e-09
FAM151B	4.4849e-04
FAM153A	4.4224e-01
FAM153B	8.8709e-01
FAM161A	1.3346e-07
FAM161B	1.1100e-02
FAM162A	4.0552e-02
FAM162B	3.6673e-05
FAM163A	1.8936e-02
FAM163B	1.0091e-02
FAM166A	2.8858e-05
FAM166B	2.7913e-09
FAM166C	7.1447e-03
FAM167A	3.5790e-01
FAM167B	3.0632e-02
FAM168A	9.9998e-01
FAM168B	6.1645e-06
FAM169A	9.9893e-01
FAM170A	2.0120e-05
FAM170B	4.9003e-03
FAM171A1	9.9983e-01
FAM171A2	8.9507e-01
FAM171B	1.0000e+00
FAM172A	4.6987e-03
FAM174A	3.3607e-04
FAM174B	1.7121e-02
FAM174C	1.9352e-01
FAM177A1	1.4730e-01
FAM177B	3.7538e-03
FAM178B	8.6349e-06
FAM180A	6.7330e-05
FAM180B	1.4473e-05
FAM181A	3.0220e-01
FAM181B	4.2791e-06
FAM183A	4.1115e-02
FAM184A	5.4550e-01
FAM184B	5.9761e-31
FAM185A	1.4047e-03
FAM186A	8.4225e-08
FAM186B	1.8988e-06
FAM187A	5.1827e-02
FAM187B	1.1086e-07
FAM189A1	1.5515e-01
FAM189A2	6.3183e-06
FAM189B	8.2207e-06
FAM193A	1.0000e+00
FAM193B	1.4897e-01
FAM199X	5.7269e-01
FAM200A	1.5098e-04
FAM200B	5.4049e-02
FAM204A	1.8695e-02
FAM205A	9.9997e-01
FAM207A	1.3081e-04
FAM209A	3.5709e-02
FAM209B	5.8915e-05
FAM20A	1.8784e-03
FAM20B	7.8597e-02
FAM20C	4.1232e-06
FAM210A	5.9361e-01
FAM210B	3.4315e-01
FAM214A	1.0454e-01
FAM214B	9.5302e-01
FAM216A	2.8468e-03
FAM216B	3.5234e-03
FAM217A	8.3345e-01
FAM217B	3.0183e-01
FAM219A	9.9863e-01
FAM219B	1.4815e-05
FAM220A	3.0667e-01
FAM221A	3.0834e-05
FAM221B	3.0103e-01
FAM222A	4.1908e-01
FAM222B	9.3578e-01
FAM227A	1.9930e-11
FAM227B	3.8091e-02
FAM228A	1.4537e-01
FAM228B	2.5979e-02
FAM229A	5.4331e-02
FAM229B	8.6486e-01
FAM234A	1.7277e-01
FAM234B	2.4146e-02
FAM237A	1.0265e-07
FAM240A	1.7504e-03
FAM240C	5.0124e-06
FAM241A	7.3378e-02
FAM241B	1.0767e-02
FAM24A	1.6285e-01
FAM24B	1.8773e-01
FAM25A	8.9808e-02
FAM25C	9.7728e-02
FAM25G	2.3520e-01
FAM32A	5.5821e-02
FAM3A	6.7663e-01
FAM3B	1.1587e-05
FAM3C	1.7020e-01
FAM3D	1.2889e-03
FAM43A	4.9590e-05
FAM43B	8.1236e-08
FAM47E	9.8813e-03
FAM47E-STBD1	8.3762e-04
FAM50A	9.7913e-01
FAM50B	7.8737e-01
FAM53A	5.0109e-06
FAM53B	8.4101e-01
FAM53C	9.9509e-01
FAM71A	3.1803e-01
FAM71B	9.1212e-05
FAM71C	1.3853e-02
FAM71D	1.8531e-01
FAM71E1	6.9705e-06
FAM71E2	3.0589e-25
FAM71F1	1.5433e-03
FAM71F2	1.3183e-05
FAM72A	8.5162e-01
FAM72B	2.4529e-01
FAM72C	2.2765e-01
FAM72D	6.9454e-01
FAM76A	1.2768e-02
FAM76B	9.6251e-01
FAM78A	1.2514e-01
FAM78B	3.4787e-02
FAM81A	5.2255e-01
FAM81B	1.9774e-07
FAM83A	5.6150e-05
FAM83B	6.5648e-08
FAM83C	1.4347e-09
FAM83D	9.5129e-04
FAM83E	2.5130e-02
FAM83F	8.6832e-10
FAM83G	1.5728e-04
FAM83H	2.9961e-07
FAM86B1	7.7748e-01
FAM86B2	8.5400e-01
FAM89A	5.1955e-06
FAM89B	2.8159e-03
FAM8A1	2.4080e-02
FAM90A1	3.0281e-01
FAM90A23P	4.3149e-01
FAM91A1	9.9848e-01
FAM98A	5.2763e-01
FAM98B	4.4365e-03
FAM98C	2.0730e-08
FAM9A	3.0977e-12
FAM9B	4.1169e-05
FAM9C	1.1931e-03
FAN1	3.4463e-04
FANCA	1.1660e-08
FANCB	9.9631e-01
FANCC	1.2874e-02
FANCD2	4.3896e-01
FANCD2OS	7.7875e-03
FANCE	3.4836e-07
FANCG	6.9361e-10
FANCI	7.1398e-01
FANCL	4.5447e-05
FANCM	5.2501e-02
FANK1	8.6531e-05
FAP	5.9267e-01
FAR1	8.5142e-01
FAR2	9.9538e-01
FARP1	7.2424e-01
FARP2	7.4501e-02
FARS2	3.6807e-01
FARSA	8.0719e-01
FARSB	7.3579e-03
FAS	9.9996e-01
FASLG	7.6557e-01
FASN	1.0000e+00
FASTK	2.6695e-02
FASTKD1	1.1459e-02
FASTKD2	1.7268e-02
FASTKD3	3.3885e-01
FASTKD5	3.5203e-08
FAT1	4.4530e-01
FAT2	2.0089e-02
FAT3	1.0000e+00
FAT4	1.0000e+00
FATE1	8.3695e-02
FAU	9.9902e-01
FAXC	9.9998e-01
FAXDC2	2.2404e-01
FBF1	4.4218e-05
FBH1	9.9995e-01
FBL	9.9982e-01
FBLIM1	1.4676e-01
FBLN1	9.9344e-01
FBLN2	2.0283e-01
FBLN5	9.1804e-01
FBLN7	2.0980e-02
FBN1	1.0000e+00
FBN2	1.0000e+00
FBN3	2.2734e-03
FBP1	7.6671e-03
FBP2	1.5853e-07
FBRS	1.0000e+00
FBRSL1	5.8182e-01
FBXL12	9.6538e-02
FBXL13	1.2040e-02
FBXL14	8.0182e-01
FBXL15	7.6622e-02
FBXL16	9.4060e-01
FBXL17	9.9973e-01
FBXL18	8.4649e-06
FBXL19	9.8875e-01
FBXL2	1.2895e-01
FBXL20	9.9997e-01
FBXL22	2.9880e-01
FBXL3	9.6125e-01
FBXL4	4.4494e-03
FBXL5	9.9999e-01
FBXL6	9.2078e-18
FBXL7	9.9324e-01
FBXL8	2.0998e-01
FBXO10	5.4956e-01
FBXO11	1.0000e+00
FBXO15	6.2026e-01
FBXO16	6.8877e-01
FBXO17	1.5527e-07
FBXO2	5.3350e-06
FBXO21	8.5949e-01
FBXO22	9.1397e-01
FBXO24	9.0220e-01
FBXO25	3.6515e-01
FBXO27	6.4420e-03
FBXO28	9.9680e-01
FBXO3	9.9854e-01
FBXO30	9.7721e-01
FBXO31	1.3489e-01
FBXO32	9.2089e-01
FBXO33	9.6223e-01
FBXO34	4.4821e-02
FBXO36	6.5276e-04
FBXO38	9.9237e-01
FBXO39	1.9174e-04
FBXO4	1.8363e-06
FBXO40	6.7762e-17
FBXO41	1.0729e-01
FBXO42	1.0000e+00
FBXO43	9.9810e-01
FBXO44	9.8715e-03
FBXO45	9.9556e-01
FBXO46	5.4468e-01
FBXO47	8.4327e-03
FBXO48	3.2353e-04
FBXO5	9.9977e-01
FBXO6	2.2894e-02
FBXO7	2.5865e-02
FBXO8	5.1834e-01
FBXO9	6.9239e-01
FBXW10	4.4341e-09
FBXW11	1.0000e+00
FBXW12	1.0970e-05
FBXW2	9.9930e-01
FBXW4	1.9210e-05
FBXW5	4.9186e-12
FBXW7	1.0000e+00
FBXW8	2.8984e-09
FBXW9	5.6728e-09
FCAMR	4.4131e-10
FCAR	1.8881e-04
FCER1A	3.9117e-06
FCER1G	5.2480e-01
FCER2	4.6182e-09
FCF1	5.1081e-01
FCGBP	1.3223e-19
FCGR1A	4.2349e-01
FCGR1B	1.9016e-02
FCGR2A	3.4913e-01
FCGR2B	6.9057e-02
FCGR3A	1.8622e-02
FCGR3B	8.0651e-03
FCGRT	9.4605e-01
FCHO1	9.9054e-01
FCHO2	9.9315e-01
FCHSD1	1.9435e-11
FCHSD2	9.9822e-01
FCMR	2.5097e-02
FCN1	3.2521e-16
FCN2	1.5613e-06
FCN3	2.4668e-09
FCRL1	3.3586e-02
FCRL2	1.0141e-02
FCRL3	4.5110e-06
FCRL4	1.3170e-08
FCRL5	1.6421e-10
FCRL6	3.9092e-06
FCRLA	1.6032e-01
FCRLB	1.2372e-09
FCSK	5.1269e-05
FDCSP	1.6898e-01
FDFT1	2.1851e-12
FDPS	1.4030e-01
FDX1	5.1557e-02
FDX2	9.4946e-03
FDXACB1	4.5455e-06
FDXR	3.0704e-02
FECH	5.9906e-01
FEM1A	7.3787e-02
FEM1B	9.9922e-01
FEM1C	6.4156e-01
FEN1	6.9542e-03
FER	6.8407e-01
FER1L5	1.2208e-15
FER1L6	4.0582e-20
FERD3L	2.2837e-03
FERMT1	1.7656e-02
FERMT2	1.0000e+00
FERMT3	9.7417e-01
FES	1.8245e-02
FETUB	1.2134e-01
FEV	5.7005e-05
