gene_gencodeV33	FDR_TADA_ASD	FDR_TADA_DD	FDR_TADA_NDD	p_TADA_ASD	p_TADA_DD	p_TADA_NDD
SPAG11B	0.418115717	0.911917643	0.329884285	0.020582477	0.943637628	0.032405111
RC3H1	0.418486072	0.774718921	0.330132976	0.020626047	0.174173702	0.032450249
GLYR1	0.418855607	0.000268664	1.92E-05	0.020669622	4.57E-06	3.32E-07
DGAT1	0.41922513	0.898135514	0.330878253	0.020713241	0.682409785	0.032585771
WNT7B	0.419594388	0.8717026	0.331126522	0.020756892	0.438727096	0.032630992
PTPN4	0.419962836	0.771703436	0.331374523	0.020800547	0.170561465	0.032676218
NR1D1	0.420330674	0.806374391	0.331869828	0.020844217	0.221247464	0.032766694
IGDCC4	0.420698451	0.690647406	0.319775819	0.020887928	0.10491842	0.030609785
ZNF366	0.421065427	0.832483438	0.332611643	0.020931644	0.279157938	0.032902528
MYO9B	0.421431518	0.515302509	0.184824363	0.02097536	0.044909849	0.012381994
PSME3	0.42179688	0.380656451	0.106685507	0.021019084	0.023985338	0.005614712
NRG2	0.422162622	0.746216599	0.333598826	0.021062872	0.144301071	0.033083886
COMTD1	0.422527574	0.902748443	0.333845128	0.021106664	0.752877085	0.033129253
RAB43	0.42289338	0.21010781	0.045178857	0.021150543	0.009193743	0.001833579
TLK1	0.423258569	0.726626063	0.334828574	0.021194436	0.128189345	0.033310858
GLI3	0.423622898	1.67E-05	1.97E-06	0.02123833	2.35E-07	3.03E-08
POU6F1	0.423986357	0.813176442	0.335074385	0.021282224	0.234205649	0.033356332
RSRP1	0.42434915	0.911509048	0.335319995	0.021326129	0.933202275	0.033401816
B3GNT6	0.424711254	0.185876639	0.039723531	0.021370043	0.007718366	0.00156234
THSD7B	0.425072509	0.849889295	0.33581049	0.021413958	0.33454558	0.033492804
EPHB1	0.425433016	0.763504136	0.336055345	0.021457879	0.161330191	0.033538305
SMG7	0.425792706	0.748915301	0.336299917	0.021501802	0.146766567	0.033583809
WDR20	0.426151793	0.522543845	0.189139434	0.021545739	0.046424014	0.012825311
TRIO	0.4265101	0	0	0.021589679	0	0
SRSF1	0.426868461	1.33E-05	1.34E-06	0.021633666	1.85E-07	2.03E-08
ELOVL1	0.42722616	0.822675113	0.337033926	0.021677663	0.254617658	0.033720533
CHAMP1	0.427583096	1.60E-17	0	0.021721664	1.01E-19	0
RTF1	0.427939332	0.496722244	0.174498495	0.021765672	0.041251922	0.011350907
LRRTM3	0.428295066	0.784073185	0.338252504	0.021809699	0.186214494	0.033948542
SCAF1	0.428650284	0.203637195	0.043518057	0.021853742	0.008787701	0.001749797
C11orf68	0.429004962	0.420115625	0.131367041	0.0218978	0.028956568	0.007498734
PIF1	0.429358964	0.90194863	0.338981276	0.021941867	0.739689551	0.034085476
ITCH	0.429712445	0.748356387	0.339223837	0.02198595	0.146250533	0.034131145
GBA	0.430065474	0.86996543	0.33995015	0.022030053	0.428349081	0.034268196
NFIL3	0.430417674	0.817453914	0.340191711	0.022074156	0.243035563	0.034313886
EPHB2	0.430769521	0.73394374	0.340674374	0.022118283	0.133865718	0.034405309
DPP6	0.431120818	0.802513662	0.34115605	0.022162425	0.214424349	0.034496755
SRGAP3	0.431471595	0.757964112	0.341396673	0.022206583	0.155539143	0.034542501
APC2	0.431821813	0.673021712	0.308561762	0.022250754	0.095619766	0.028704064
LBR	0.432171821	0.813719053	0.341877524	0.022294957	0.235295054	0.034634044
NR2C2	0.432522416	0.749471125	0.342838319	0.022339232	0.147282601	0.0348174
NPC1	0.432872582	0.827154841	0.343078273	0.022383528	0.265339696	0.034863289
UBE2Z	0.433222499	0.797055044	0.34403602	0.022427854	0.205365086	0.035046937
ESCO1	0.43357199	0.72859545	0.344275005	0.022472199	0.12968011	0.035092878
KHDRBS3	0.433921853	0.828345068	0.344991048	0.022516607	0.268321226	0.035230788
SYVN1	0.434271068	0.729492733	0.345229573	0.022561023	0.130368155	0.035276802
ATMIN	0.434619576	0.866952173	0.345467861	0.022605444	0.411377298	0.035322821
CHMP1A	0.43496792	0.896503726	0.345706198	0.022649899	0.660392338	0.035368876
RNF213	0.435315566	0.853069772	0.345944301	0.02269436	0.34681572	0.035414936
DEPDC5	0.435662413	0.647838682	0.292413861	0.022738822	0.084104538	0.026101351
PTBP1	0.436009016	0.731412113	0.346182413	0.022783312	0.13185892	0.035461027
KDM4B	0.436355662	0.729194448	0.347370203	0.022827847	0.130138807	0.035691647
MORC3	0.436701818	0.674504887	0.315902675	0.022872398	0.096359714	0.029941799
ZNF710	0.437047247	0.771313077	0.347843818	0.022916953	0.170102768	0.035783949
CHST1	0.437392697	0.822898186	0.348080691	0.022961551	0.255133692	0.035830151
WDR48	0.437737605	0.001156161	0.000221559	0.023006162	2.18E-05	4.53E-06
IMMT	0.438081941	0.824486348	0.348790111	0.023050785	0.258860604	0.035968813
ZRANB1	0.43842578	0.65544495	0.302169542	0.023095424	0.087386447	0.027654519
DCAF11	0.438768889	0.593403733	0.25206658	0.023140065	0.064538253	0.02025464
CAMTA1	0.439111806	4.26E-11	4.78E-12	0.023184738	3.62E-13	4.53E-14
SIGLEC10	0.439455659	0.851237026	0.349971939	0.023229502	0.339648582	0.036200453
QSOX2	0.439799937	0.873697322	0.351385011	0.02327433	0.451226585	0.036478868
ZNRF1	0.44014371	0.805898915	0.351854717	0.023319173	0.220387407	0.036571773
KRT1	0.440486858	0.807905981	0.352089269	0.023364025	0.224056982	0.036618238
NR1H4	0.440829344	0.849069096	0.352323602	0.023408883	0.331506713	0.03666471
ZFP62	0.441171088	0.815653906	0.352557672	0.023453743	0.239251314	0.036711183
UBE2E3	0.441512188	0.852968938	0.353025069	0.02349861	0.34641436	0.036804142
TPBG	0.441852616	0.895766092	0.353724241	0.023543482	0.650874378	0.036943598
CAMSAP1	0.442192275	0.756484286	0.353956755	0.023588355	0.154048379	0.036990085
SOCS7	0.442531183	0.579478458	0.245528876	0.023633229	0.060435647	0.019390474
MPHOSPH8	0.44286961	0.834642753	0.354652869	0.023678118	0.285120997	0.037129572
KAT5	0.443207326	0.077433362	0.012522012	0.02372301	0.002448903	0.000393525
PLEKHG1	0.443544544	0.686613248	0.338738578	0.023767916	0.102689402	0.034039823
GABRG2	0.443881075	8.11E-07	9.94E-08	0.023812826	9.79E-09	1.33E-09
BAIAP2	0.444217076	0.815182321	0.35511616	0.023857749	0.238276583	0.037222626
MEN1	0.444552396	0.729418237	0.355347539	0.023902676	0.130310818	0.037269169
TRPC7	0.444887032	0.513188701	0.19741969	0.023947606	0.044477838	0.013696378
BTBD2	0.44522102	0.805131569	0.355578734	0.023992542	0.219011317	0.037315722
POMZP3	0.44555438	0.902604383	0.355809717	0.024037485	0.750468927	0.037362281
ITGA2	0.445887101	0.844774856	0.356040482	0.024082433	0.316369718	0.037408847
SEPTIN7	0.446219079	0.735786739	0.356270974	0.024127381	0.135356483	0.037455412
NACA	0.446551035	0.125342659	0.024919642	0.024172369	0.004523892	0.000884745
UNC119B	0.446882559	0.490416459	0.18382969	0.024217373	0.040077059	0.012280764
ZIC2	0.447213361	0.329311605	0.099857121	0.024262379	0.018543889	0.005130067
CSNK2A2	0.447543695	0.734015211	0.35742125	0.024307399	0.133923056	0.037688444
MAZ	0.447873439	0.795571897	0.357650877	0.024352426	0.203014265	0.037735092
TET3	0.44820297	0.705734374	0.358109744	0.024397483	0.113855069	0.037828433
SMARCE1	0.448531828	0.002954142	0.00044421	0.024442542	5.99E-05	9.64E-06
CUL9	0.448860245	0.771897976	0.35879659	0.024487617	0.170790813	0.037968507
SPPL3	0.44918837	0.73243185	0.359025282	0.024532716	0.132661639	0.038015228
CIC	0.44951602	0.002344976	0.000359658	0.024577829	4.66E-05	7.67E-06
NR4A1	0.449842995	0.547526461	0.223511176	0.024622945	0.052080299	0.016642175
MAP4K4	0.45016951	0.013936376	0.002222728	0.024668075	0.000330563	5.65E-05
FOXO3	0.450495747	0.767619548	0.359710706	0.024713229	0.165859822	0.038155496
LIMK1	0.450821641	0.659869539	0.314078063	0.024758404	0.089370271	0.029630949
SGPP1	0.451147142	0.89119409	0.360622492	0.024803596	0.59720685	0.038342695
RANBP9	0.451472357	0.625382886	0.284975353	0.024848813	0.075263306	0.024954728
PPIP5K2	0.451797117	0.871721374	0.360850311	0.024894043	0.438841771	0.038389553
MSH5	0.452121314	0.85863112	0.361077943	0.024939282	0.370323932	0.03843642
RYR1	0.452444921	0.636908606	0.294325533	0.024984528	0.079648759	0.026401226
DNAJC2	0.452768292	0.776442845	0.361305625	0.0250298	0.176295175	0.03848332
TRIM9	0.453091233	0.728369987	0.361760422	0.025075087	0.129508099	0.038577146
GATA2	0.453413773	0.776535064	0.361987615	0.025120391	0.176409849	0.03862408
UCK2	0.453735773	0.827293362	0.362214629	0.025165704	0.265683719	0.038671024
CELSR1	0.45405709	0.648641224	0.30564448	0.025211019	0.084443618	0.028221786
LEMD2	0.454377839	0.810932477	0.362667989	0.02525634	0.229790692	0.038764924
GSE1	0.454697892	0.274984414	0.07714629	0.025301662	0.013808406	0.003634253
EEF1G	0.455017602	0.353028001	0.108073634	0.025347003	0.020923425	0.005714884
SLC6A4	0.455336659	0.814735443	0.3628945	0.025392347	0.23735919	0.038811899
BRD1	0.455655031	0.314434224	0.095469108	0.025437691	0.017155777	0.004826786
GRB10	0.455973021	0.62261013	0.286086358	0.025483052	0.074253215	0.025123799
SF3A2	0.456290406	0.807782179	0.363347058	0.025528418	0.223827633	0.038905885
NCOA1	0.456607307	0.760086673	0.363573099	0.025573795	0.157717953	0.038952895
PRKCA	0.456923813	0.461874663	0.17282817	0.025619189	0.035152108	0.011188049
RNF38	0.457240314	0.720421231	0.364700692	0.02566462	0.123659714	0.039188088
EIF2AK4	0.457556488	0.841721058	0.365150591	0.025710072	0.306335725	0.039282241
PDZD2	0.457872639	0.770970107	0.365600086	0.02575556	0.169701408	0.039376464
TRIM7	0.45818843	0.851132341	0.365824742	0.025801067	0.339247222	0.039423607
STAT6	0.458503556	0.777952037	0.366049144	0.025846574	0.178187299	0.039470752
PTPRS	0.458818194	0.56389599	0.24100908	0.025892092	0.056189895	0.018806757
GPRIN1	0.459132547	0.45529239	0.171827407	0.025937632	0.034101565	0.011090929
CTXN1	0.459446673	0.688902675	0.35349145	0.025983197	0.103946536	0.036897111
GNB2	0.459760368	3.02E-05	4.07E-06	0.026028776	4.42E-07	6.49E-08
PICK1	0.460073711	0.667178193	0.331622306	0.026074372	0.092776174	0.032721453
TRIP11	0.460386894	0.830482882	0.367393731	0.026119998	0.273825587	0.039754012
SMC6	0.460699499	0.827752852	0.367617496	0.026165629	0.266830461	0.039801285
PUF60	0.461012003	0	0	0.026211292	0	0
VCPIP1	0.461324049	0.712314518	0.36784142	0.026256966	0.118098015	0.039848603
ATP6V0D1	0.461635667	0.768076897	0.368065214	0.026302654	0.166375856	0.039895934
SYNJ2	0.461947122	0.857583578	0.368512463	0.026348371	0.365679627	0.039990645
CYP46A1	0.462258143	0.778764223	0.368958997	0.0263941	0.179219367	0.040085391
GRIN2A	0.462568704	1.36E-12	3.13E-13	0.026439841	1.06E-14	2.79E-15
USO1	0.462878844	0.651291018	0.316681585	0.026485595	0.085574754	0.03007522
TPSAB1	0.463188375	0.913692264	0.369627528	0.026531352	0.99168612	0.040227581
FSIP2	0.463497791	0.83201626	0.369850211	0.02657714	0.277896522	0.040275016
FUBP3	0.463806684	0.588993346	0.269771835	0.026622935	0.063205415	0.022709588
CCIN	0.464115222	0.852997769	0.370295178	0.026668748	0.346529034	0.040369926
RAD54L2	0.464423938	0.550681033	0.238890407	0.026714607	0.052845667	0.018536534
HID1	0.464732012	0.606901032	0.281628119	0.026760468	0.068826676	0.024449627
PTGS1	0.465039809	0.868087816	0.371183555	0.026806349	0.417627042	0.040559912
SPI1	0.465347409	0.036736201	0.006496848	0.026852257	0.001002178	0.000186243
SMPD4	0.465655177	0.888298808	0.372292134	0.026898212	0.567334219	0.040797814
NECTIN4	0.465963378	0.531021646	0.227250153	0.026944228	0.048266892	0.01709163
LRRTM2	0.46627128	0.521268264	0.219410674	0.026990265	0.046153383	0.016157939
MLLT1	0.466578986	0.775141398	0.374059586	0.027036328	0.174689736	0.041179212
SRSF7	0.466886505	0.080544466	0.014693635	0.027082417	0.002571601	0.000473754
MYT1	0.46719357	0.781329884	0.374939784	0.027128517	0.182544919	0.041370188
ARHGAP26	0.467500091	0.770428488	0.375159395	0.027174623	0.1690707	0.041417952
POT1	0.467806183	0.79805166	0.375378869	0.027220741	0.206970525	0.041465729
GADD45B	0.468112094	0.879375661	0.376036263	0.027266885	0.490674512	0.041609111
EZH2	0.468417448	0.00913014	0.001454406	0.027313034	0.000206643	3.53E-05
SLIT1	0.468722727	0.750329658	0.376910699	0.027359216	0.14808532	0.04180044
LUZP1	0.469027529	0.808429745	0.377128871	0.027405406	0.225031713	0.041848292
JARID2	0.469332081	0.735927207	0.377564785	0.027451619	0.135471157	0.041944031
DMAP1	0.469636039	0.611081569	0.29132012	0.027497834	0.070222821	0.025930626
ABI2	0.469939688	0.563686085	0.253838804	0.027544068	0.056134958	0.020492582
C1QC	0.47024336	0.892407866	0.378000805	0.027590339	0.610623732	0.042039892
ING1	0.47054733	0.446826416	0.176499197	0.027636666	0.032793257	0.011547479
MAGOHB	0.470850676	0.863771524	0.379088025	0.027682992	0.394749538	0.042279705
GRK5	0.471153573	0.674163932	0.351149842	0.027729328	0.096188938	0.036432427
ZIC5	0.471456088	0.833260859	0.379738882	0.027775679	0.281279411	0.042423756
STRADB	0.471758407	0.857268567	0.379955591	0.027822055	0.364303536	0.0424718
SOX6	0.47206014	0.164369213	0.040520854	0.027868432	0.006507834	0.001601324
NUAK1	0.472361611	0.829133281	0.380388567	0.027914831	0.270328024	0.04256792
OAF	0.472663064	0.896730683	0.381252861	0.027961266	0.663373867	0.042760301
FLII	0.472964386	0.84647661	0.381899182	0.028007729	0.322218103	0.042904658
DNAJC3	0.473265344	0.832715643	0.382114417	0.028054207	0.279788646	0.042952808
TCF7L1	0.473566549	0.819624198	0.382544734	0.028100736	0.247737205	0.043049171
PTPN13	0.473867209	0.850937336	0.382759759	0.028147269	0.33850184	0.043097378
TSSK6	0.474167731	0.837076787	0.383403778	0.02819383	0.292116123	0.043242043
DHFR2	0.474468057	0.90472422	0.384046535	0.028240416	0.787451358	0.043386807
EMX1	0.474767817	0.383224634	0.140692633	0.028287005	0.024285937	0.008269344
FGF17	0.475067932	0.781634343	0.384688553	0.028333651	0.182946279	0.04353173
ZNF208	0.475367544	0.911857576	0.384902291	0.028380304	0.942089526	0.043580061
PRPF39	0.475666629	0.756254594	0.385115836	0.028426961	0.15381903	0.043628396
FBH1	0.475965386	0.826082365	0.385329296	0.028473635	0.262702189	0.043676749
CRH	0.476263586	0.861299821	0.385542546	0.028520312	0.382651409	0.043725105
DDAH1	0.476561575	0.883402487	0.385968582	0.028567012	0.522725953	0.043821845
ZEB1	0.476859046	0.785866763	0.386181386	0.028613717	0.188679989	0.04387023
TCTEX1D4	0.477156	0.909558872	0.386393999	0.028660427	0.886300524	0.043918621
ILF2	0.477452579	0.5305315	0.239496032	0.028707151	0.048158301	0.018613573
SCMH1	0.477748926	0.856175885	0.387242731	0.028753896	0.359601894	0.044112254
GABRB1	0.478044878	0.782110564	0.387666144	0.028800654	0.183576987	0.044209121
ADCK2	0.478340238	0.880731804	0.387877555	0.028847411	0.501052528	0.044257561
LHX8	0.478635028	0.82479923	0.388088747	0.028894171	0.259605986	0.044306002
RANBP10	0.478929555	0.581995384	0.277133658	0.028940949	0.061154786	0.023781295
ZNF483	0.47922361	0.387043284	0.146542303	0.028987736	0.024738174	0.008769433
PER2	0.479517614	0.794171356	0.388721892	0.029034554	0.200835455	0.044451436
SEMA5B	0.479811199	0.846081169	0.388932788	0.029081383	0.320842012	0.044499949
ZNF296	0.48010439	0.407001388	0.158399168	0.029128223	0.027217473	0.009826737
RHOV	0.48039722	0.834151523	0.389354197	0.029175077	0.283744906	0.044597012
KLHL32	0.480689744	0.837891137	0.389775102	0.029221948	0.294524282	0.044694122
ZRANB2	0.480981702	0.55334826	0.257946556	0.02926882	0.053502392	0.02105073
P4HTM	0.481273384	0.887158612	0.389985402	0.02931571	0.556325495	0.044742699
SENP3	0.481564867	0.798404454	0.390824658	0.029362624	0.207543896	0.044937049
HGS	0.481856018	0.821674132	0.391243301	0.029409552	0.252324174	0.045034268
IGLL5	0.482146599	0.913895044	0.391452348	0.029456481	0.997477167	0.045082886
STK24	0.482436678	0.84262917	0.391661206	0.029503415	0.309259917	0.045131508
KPNA3	0.482726493	0.550008996	0.256189237	0.029550367	0.052681589	0.020810896
RASL10B	0.483016587	0.894189929	0.392703883	0.029597372	0.631379763	0.045374823
CHAF1A	0.483306296	0.64635747	0.337765825	0.029644388	0.083483123	0.033857322
HPS6	0.483595466	0.860399064	0.392912142	0.029691407	0.378408464	0.045423533
LRRC8D	0.483884106	0.784283752	0.393120197	0.029738427	0.186501179	0.045472245
CAPN1	0.484172237	0.859429599	0.393328058	0.029785451	0.37393617	0.045520961
TRIM28	0.484459975	0.238881216	0.07225343	0.029832486	0.011116	0.003335772
ERCC6	0.484747247	0.697813405	0.390405341	0.029879527	0.109039412	0.044839857
ZBTB7A	0.485034082	0.000335117	4.91E-05	0.029926576	5.83E-06	8.96E-07
TCP10L2	0.485320451	0.901820984	0.393535968	0.029973631	0.737625416	0.045569709
RICTOR	0.485606504	0.722817669	0.394158702	0.030020701	0.125379827	0.045715993
ZFYVE28	0.485892155	0.557069129	0.264629138	0.030067781	0.054433729	0.021977879
NFYC	0.486177402	0.828004107	0.394573098	0.03011487	0.267461169	0.045813558
LHX3	0.486462189	0.613869239	0.307238203	0.030161966	0.071173018	0.028484577
GPR137	0.48674644	0.532242924	0.24880648	0.030209062	0.048538517	0.019820999
KCNS2	0.487030507	0.644453866	0.337522083	0.030256182	0.082692712	0.033811718
MRPL45	0.487314196	0.880377264	0.394987305	0.030303312	0.498300347	0.045911204
IPP	0.487597352	0.857057364	0.395194107	0.030350444	0.363386143	0.045960031
MAPK1	0.48788127	0.208819415	0.062196201	0.030397657	0.00911216	0.002746608
AXIN2	0.488164692	0.218412055	0.066547938	0.030444874	0.009728483	0.002997224
ATP8A1	0.488447641	0.440915345	0.184492764	0.030492096	0.031907042	0.012348206
MED25	0.488730051	0.399418645	0.159076023	0.030539318	0.02625236	0.009888684
H3C13	0.48901195	0.913167935	0.396433095	0.030586543	0.977007822	0.046253327
HSPA12B	0.48929346	0.847933091	0.396845112	0.030633777	0.327378442	0.046351185
PATL1	0.489574447	0.785370142	0.397050839	0.030681012	0.187991944	0.04640012
CABIN1	0.489854896	0.84338308	0.397256348	0.030728248	0.311725413	0.046449055
SH3TC2	0.490134941	0.871106571	0.397461712	0.030775493	0.435114859	0.046497999
ARAP3	0.490414477	0.816259316	0.397666874	0.030822739	0.24051273	0.046546945
CCDC85B	0.490693741	0.894714478	0.398076762	0.030870002	0.637744182	0.046644863
HDAC5	0.490972514	0.718631461	0.398281439	0.030917268	0.122398298	0.04669383
SLC7A5	0.491250946	0.832207826	0.398690319	0.030964547	0.278412556	0.046791784
RNPEPL1	0.491529031	0.868699786	0.399302164	0.031011837	0.421067269	0.046938735
HMCN2	0.491806996	0.887751738	0.399505975	0.031059153	0.562001868	0.046987753
LRP5	0.492084829	0.792327453	0.399913256	0.031106494	0.198025937	0.047085827
ARNT2	0.492362916	0.775841019	0.400320393	0.031153886	0.175549793	0.047183985
RRP9	0.492640563	0.81780279	0.40052383	0.031201283	0.243780945	0.047233088
ZCCHC24	0.492917912	0.789813048	0.400930239	0.031248694	0.194299025	0.047331314
USPL1	0.493195033	0.821573167	0.401336169	0.031296125	0.252094825	0.047429585
BNC2	0.493472185	0.213311627	0.065922568	0.031343592	0.009398305	0.002960788
YTHDF1	0.493749062	0.405419472	0.166163428	0.031391074	0.027013809	0.010548145
EIF4G2	0.494025627	0.705459918	0.402550288	0.03143857	0.113683058	0.047724575
DOP1A	0.494301878	0.156938452	0.042418984	0.03148608	0.006109437	0.001694961
EYA3	0.494578081	0.357181127	0.134491263	0.03153362	0.021363593	0.007752999
UBR3	0.49485378	0.626145198	0.329386079	0.031581162	0.075544003	0.032314848
KIAA1549	0.495129551	0.777634103	0.403761206	0.031628741	0.17778594	0.048020099
RFX7	0.495405252	7.73E-05	1.17E-05	0.031676349	1.20E-06	1.97E-07
KLHL14	0.495680604	0.828976456	0.404164377	0.031723968	0.269926664	0.048118753
ROBO3	0.495955548	0.859966627	0.40436575	0.031771595	0.376401665	0.048168093
NA	0.496230107	0.003876666	0.000885833	0.03181923	8.05E-05	2.05E-05
ZNF608	0.496504789	0.539196826	0.26231852	0.031866906	0.050116437	0.021654341
BCL11A	0.496779137	0	0	0.031914594	0	0
ZNF479	0.497053192	0.910787819	0.405371575	0.031962297	0.915313099	0.048415048
NCK2	0.497326747	0.837368981	0.405572347	0.03201	0.29297618	0.048464467
MAPK3	0.497599822	0.847403831	0.405772928	0.032057706	0.325486317	0.048513889
FUCA1	0.497872387	0.88267457	0.405973299	0.032105412	0.51664822	0.048563311
UNC79	0.4981448	0.721145455	0.406972885	0.032153141	0.124175748	0.048810526
LMBRD2	0.498416793	0.329813726	0.125815416	0.032200876	0.01859207	0.00705556
GSK3B	0.498688477	0.000994152	0.000272742	0.032248623	1.85E-05	5.68E-06
TMPRSS5	0.498959911	0.889878267	0.407371831	0.032296388	0.583273934	0.048909481
LMNB1	0.499230967	0.048240474	0.010399038	0.032344161	0.001380073	0.000317674
ZFPM1	0.499502229	0.552684673	0.274873348	0.03239198	0.05333816	0.023449396
NCSTN	0.4997733	0.560936958	0.279664961	0.03243982	0.055421066	0.024156395
TASOR2	0.500044041	0.789773738	0.408368872	0.032487671	0.194241688	0.049157267
CBLN4	0.500314408	0.594671286	0.307503102	0.03253553	0.06492735	0.028528425
RBM15	0.500584316	0.770329659	0.408567881	0.032583392	0.168956026	0.049206851
SYMPK	0.500853774	0.732359327	0.408766711	0.032631258	0.132604302	0.049256439
DBF4	0.501122986	0.77247906	0.409163952	0.03267914	0.171478858	0.049355639
NCOA3	0.501391784	0.790478373	0.409362353	0.032727028	0.195273756	0.049405249
ATP8B1	0.501660228	0.839987866	0.409560628	0.032774925	0.3008887	0.04945487
CEP162	0.501928194	0.885058482	0.409758709	0.032822824	0.537060228	0.049504491
LIG3	0.502196064	0.582954614	0.297044902	0.032870749	0.061431501	0.026831486
DLK2	0.502463682	0.156262685	0.043794037	0.032918689	0.006073699	0.001763641
GRIK4	0.502730878	0.809978122	0.410550402	0.032966634	0.227955905	0.04970315
ABLIM1	0.502997642	0.788145261	0.410747891	0.033014584	0.191890867	0.049752825
PRKD3	0.503264133	0.822451256	0.4109453	0.033062548	0.254101624	0.049802514
CXXC5	0.503530216	0.813061657	0.41114255	0.033110517	0.233976301	0.049852209
GRIA1	0.503795824	0.286295373	0.104950307	0.033158487	0.014721975	0.005490475
ZC3H14	0.504060997	0.792593535	0.411536507	0.03320646	0.198427297	0.049951607
NT5C2	0.50432571	0.391643606	0.165156647	0.033254436	0.025292221	0.010453154
XIRP2	0.50459005	0.881494909	0.411733263	0.033302419	0.507072923	0.050001316
ETS1	0.504853924	0.54524517	0.27204457	0.033350403	0.051534222	0.023037426
MFAP1	0.505117621	0.191852524	0.05941693	0.033398407	0.008070723	0.00259033
GRASP	0.505380873	0.804615449	0.41193002	0.033446414	0.218093923	0.05005105
TRERF1	0.505643647	0.362622847	0.143451361	0.033494421	0.021951704	0.008503478
YAF2	0.505906016	0.828751714	0.412323013	0.033542433	0.269353293	0.050150528
GFAP	0.506167983	0.002020854	0.00048893	0.03359045	3.96E-05	1.07E-05
SORT1	0.506429621	0.745450496	0.412715399	0.033638477	0.143613026	0.050250031
CCSER1	0.506690811	0.838484711	0.412911331	0.033686506	0.296301732	0.050299788
ADGRB1	0.50695167	0.004141814	0.000962147	0.033734544	8.65E-05	2.25E-05
OGFOD3	0.507212884	0.901488074	0.414280239	0.033782638	0.732293065	0.050648453
PCYT1A	0.507473722	0.875516539	0.414669846	0.033830738	0.463210039	0.050748108
DOT1L	0.507734144	0.011322823	0.00260165	0.033878842	0.000262421	6.72E-05
TBC1D32	0.50799424	0.879429094	0.415058834	0.033926956	0.491075872	0.050847784
MAFB	0.508254176	0.062520491	0.013821722	0.033975091	0.001882934	0.000441306
SPSB1	0.508513713	0.844622011	0.415641269	0.03402323	0.315853684	0.050997354
ZBTB14	0.508772795	0.666102974	0.379305207	0.03407137	0.092264834	0.04232772
ZNF324B	0.509031463	0.892655716	0.415835177	0.034119515	0.61343325	0.05104723
LNX1	0.509289842	0.859755077	0.416222512	0.03416767	0.375426934	0.051146996
GPR155	0.509547864	0.884864124	0.416415988	0.034215834	0.535340115	0.051196892
KISS1R	0.509805609	0.852022506	0.416995509	0.03426401	0.342687448	0.051346613
GLRA1	0.510063037	0.17516593	0.052671065	0.034312195	0.00710446	0.002223552
C2CD5	0.510320031	0.212029592	0.070026193	0.034360383	0.009316226	0.003202198
GJD3	0.510576769	0.912754021	0.417381257	0.034408585	0.965712412	0.051446475
AP1B1	0.510833153	0.765922747	0.417766416	0.034456794	0.163967698	0.051546361
NBEAL2	0.511089082	0.700698455	0.416609342	0.034505003	0.110758943	0.051246797
CACNB3	0.511344896	0.851386193	0.418151078	0.034553235	0.340221953	0.051646282
SKIV2L	0.511600287	0.877267236	0.418343193	0.03460147	0.475308168	0.051696252
GTF3C1	0.511855575	0.730012797	0.419110192	0.034649729	0.130769515	0.051896193
PRPF19	0.512110499	0.359913269	0.144485248	0.034697994	0.021657342	0.008591955
SRSF9	0.51236515	0.835412071	0.419683906	0.034746271	0.287299807	0.05204621
CNOT2	0.512619442	0.011604051	0.002780374	0.034794555	0.000269639	7.24E-05
PLEKHO1	0.512873525	0.553789451	0.283023708	0.034842855	0.053611898	0.024659552
YWHAH	0.513127198	0.830329542	0.420065893	0.034891158	0.273424228	0.052146281
PHRF1	0.513380447	0.463816494	0.217188341	0.034939463	0.035467857	0.015898915
ADGRL1	0.513633426	0.51713595	0.259407031	0.034987781	0.045288119	0.021251278
SPOP	0.513886083	3.65E-06	6.60E-07	0.035036107	4.76E-08	9.69E-09
AAAS	0.514138498	0.597716013	0.320032094	0.035084447	0.065873055	0.030654391
PAPSS1	0.514390508	0.869022446	0.420638404	0.03513279	0.422902056	0.052296509
PCDHGA3	0.514642182	0.878914315	0.42082897	0.035181141	0.487234286	0.052346599
DNAJC5	0.51489353	0.826176367	0.421209654	0.0352295	0.262931538	0.052446795
ZC3H11A	0.515144517	0.73522302	0.42139976	0.035277864	0.134897786	0.0524969
SATB1	0.515395334	1.12E-05	2.31E-06	0.035326247	1.54E-07	3.58E-08
LRRFIP1	0.51564591	0.855181235	0.421779672	0.035374644	0.355416285	0.052597143
ECT2	0.515896087	0.853184754	0.421969499	0.035423044	0.347274417	0.052647284
SOGA1	0.516145867	0.022861866	0.004517774	0.035471447	0.000579526	0.000123841
SMARCB1	0.516395289	4.05E-07	7.24E-08	0.035519856	4.72E-09	9.58E-10
FADS1	0.516644292	0.818996385	0.422348739	0.035568266	0.246361115	0.052747586
CTNND1	0.516892876	0.000248153	4.04E-05	0.035616678	4.19E-06	7.27E-07
HOXB6	0.517141026	0.899701716	0.422538089	0.035665089	0.70488593	0.052797739
TNFSF13B	0.517388758	0.356722733	0.147226142	0.035713502	0.021314646	0.008828826
DYRK2	0.517636144	0.177854159	0.055726509	0.035761921	0.007256428	0.002387496
KCTD2	0.517883151	0.858323221	0.422727341	0.035810343	0.368947842	0.052847904
AMOTL1	0.518130212	0.82426882	0.423482965	0.035858799	0.25834457	0.053048626
